epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.5407,1.11951,4.12111,1.48377,0.00953,1,0.15492,0.11782,0.79706,3.16112,1.25134,0.000192733,0.000192733,0.000192733
2,39.0163,0.88998,3.5272,1.28198,0.57627,0.25983,0.33894,0.28959,0.76071,2.62883,1.16681,0.000384885,0.000384885,0.000384885
3,54.0252,0.90894,3.11849,1.28563,0.68061,0.33976,0.44919,0.38057,0.83188,2.02947,1.2378,0.000573156,0.000573156,0.000573156
4,69.1275,0.92014,2.70416,1.29765,0.34166,0.65812,0.53099,0.43374,0.79013,1.96343,1.20125,0.000570536,0.000570536,0.000570536
5,84.7828,0.92185,2.49145,1.26987,0.50716,0.60534,0.67241,0.54854,0.75537,1.57897,1.1672,0.000564715,0.000564715,0.000564715
6,99.9036,0.87183,2.24532,1.21586,0.55164,0.73826,0.7514,0.62261,0.78116,1.52205,1.18839,0.000558894,0.000558894,0.000558894
7,114.77,0.8817,2.14503,1.22528,0.75575,0.65527,0.7456,0.60099,0.79664,1.52059,1.14665,0.000553073,0.000553073,0.000553073
8,129.631,0.86044,1.94622,1.20528,0.741,0.6817,0.78365,0.64101,0.78225,1.35836,1.14768,0.000547252,0.000547252,0.000547252
9,144.442,0.836,1.87068,1.18906,0.78456,0.85043,0.91322,0.75961,0.73583,1.0129,1.12299,0.00054143,0.00054143,0.00054143
10,159.418,0.81146,1.72296,1.17075,0.88657,0.89507,0.95341,0.78567,0.737,0.80019,1.11273,0.000535609,0.000535609,0.000535609
11,175.192,0.83788,1.66215,1.17859,0.86109,0.87061,0.94307,0.78159,0.74001,0.86686,1.11802,0.000529788,0.000529788,0.000529788
12,190.543,0.79106,1.54893,1.1462,0.8925,0.81658,0.89149,0.75452,0.72066,0.83239,1.10201,0.000523967,0.000523967,0.000523967
13,205.374,0.80481,1.54874,1.15268,0.90056,0.90572,0.97395,0.79514,0.7675,0.74672,1.13679,0.000518146,0.000518146,0.000518146
14,220.076,0.79809,1.42472,1.13423,0.88693,0.96432,0.98892,0.79834,0.81658,0.68646,1.17019,0.000512324,0.000512324,0.000512324
15,235.019,0.80541,1.40113,1.15336,0.97883,0.93397,0.98511,0.81847,0.72507,0.649,1.10325,0.000506503,0.000506503,0.000506503
16,249.931,0.78798,1.34382,1.14628,0.96501,0.95148,0.9798,0.80793,0.74609,0.59139,1.12834,0.000500682,0.000500682,0.000500682
17,265.423,0.81198,1.3212,1.17012,0.92961,0.94639,0.98346,0.81823,0.73586,0.5826,1.09586,0.000494861,0.000494861,0.000494861
18,280.484,0.76697,1.23966,1.14083,0.96096,0.95997,0.995,0.80886,0.83435,0.55386,1.1802,0.00048904,0.00048904,0.00048904
19,295.446,0.72829,1.19319,1.10571,0.94612,0.97544,0.99324,0.77133,0.91706,0.59827,1.23519,0.000483218,0.000483218,0.000483218
20,310.695,0.74017,1.12684,1.11055,0.96363,0.9668,0.99192,0.79641,0.81215,0.549,1.16548,0.000477397,0.000477397,0.000477397
21,325.405,0.71659,1.13664,1.10257,0.89356,0.95966,0.96692,0.76241,0.85297,0.64121,1.17409,0.000471576,0.000471576,0.000471576
22,340.206,0.74134,1.13352,1.11423,0.93209,0.96909,0.99244,0.80119,0.79541,0.5563,1.14067,0.000465755,0.000465755,0.000465755
23,355.766,0.76869,1.10089,1.13244,0.96004,0.98326,0.995,0.81924,0.75861,0.53566,1.11153,0.000459934,0.000459934,0.000459934
24,370.876,0.74026,1.07084,1.10137,0.97077,0.97912,0.995,0.83671,0.7104,0.48669,1.08017,0.000454112,0.000454112,0.000454112
25,385.783,0.70471,0.99322,1.08207,0.92056,0.98342,0.98603,0.80786,0.75178,0.56384,1.11851,0.000448291,0.000448291,0.000448291
26,400.784,0.71945,0.99626,1.10086,0.9425,0.99188,0.995,0.81201,0.76041,0.48171,1.12024,0.00044247,0.00044247,0.00044247
27,415.937,0.69884,0.90941,1.09788,0.97869,0.98021,0.995,0.835,0.72454,0.46441,1.07844,0.000436649,0.000436649,0.000436649
28,431.386,0.70912,0.94543,1.09477,0.97704,0.98735,0.995,0.83644,0.69301,0.41541,1.05915,0.000430828,0.000430828,0.000430828
29,447.186,0.67339,0.93023,1.07966,0.97305,0.99458,0.995,0.79249,0.85929,0.43846,1.19811,0.000425006,0.000425006,0.000425006
30,462.446,0.69618,0.92814,1.08626,0.96645,0.96099,0.98044,0.78248,0.83641,0.49173,1.17777,0.000419185,0.000419185,0.000419185
31,477.592,0.70353,0.89329,1.09142,0.97597,0.98929,0.995,0.81393,0.75408,0.45585,1.10459,0.000413364,0.000413364,0.000413364
32,492.826,0.67716,0.86547,1.09057,0.97149,0.97735,0.995,0.73488,1.02712,0.51341,1.34125,0.000407543,0.000407543,0.000407543
33,507.939,0.68211,0.82168,1.08313,0.97248,0.96774,0.9913,0.82209,0.7434,0.45996,1.09421,0.000401722,0.000401722,0.000401722
34,523.896,0.71475,0.88576,1.09733,0.97647,0.9934,0.995,0.82004,0.74229,0.39914,1.10152,0.0003959,0.0003959,0.0003959
35,539.328,0.66011,0.83406,1.07093,0.97859,0.99885,0.995,0.80853,0.77365,0.40475,1.13049,0.000390079,0.000390079,0.000390079
36,554.364,0.66292,0.82559,1.08168,0.96646,0.97787,0.995,0.83806,0.70206,0.39423,1.07883,0.000384258,0.000384258,0.000384258
37,569.39,0.6598,0.82596,1.06108,0.96798,0.97053,0.995,0.80562,0.78782,0.44209,1.13193,0.000378437,0.000378437,0.000378437
38,584.305,0.64394,0.7698,1.05031,0.97807,0.98462,0.9906,0.80686,0.80705,0.41451,1.16737,0.000372616,0.000372616,0.000372616
39,599.717,0.64508,0.77823,1.06716,0.97702,0.95959,0.98731,0.80041,0.80837,0.44066,1.14472,0.000366794,0.000366794,0.000366794
40,615.259,0.63787,0.78064,1.05939,0.97414,0.97718,0.995,0.80062,0.7898,0.41154,1.1156,0.000360973,0.000360973,0.000360973
41,630.497,0.63332,0.72201,1.0521,0.97297,0.97569,0.995,0.79839,0.82115,0.41986,1.14969,0.000355152,0.000355152,0.000355152
42,645.467,0.62176,0.69748,1.04452,0.98088,0.97371,0.995,0.81082,0.76453,0.39571,1.11774,0.000349331,0.000349331,0.000349331
43,660.702,0.61758,0.71638,1.0642,0.96942,0.96602,0.98941,0.80293,0.76725,0.42782,1.11437,0.00034351,0.00034351,0.00034351
44,676.048,0.64487,0.71029,1.07794,0.96895,0.96499,0.9909,0.82044,0.75989,0.42854,1.11248,0.000337688,0.000337688,0.000337688
45,691.809,0.64277,0.70233,1.04565,0.9764,0.94911,0.99096,0.81198,0.72992,0.40284,1.08516,0.000331867,0.000331867,0.000331867
46,707.037,0.60908,0.70294,1.04187,0.98755,0.98856,0.995,0.80687,0.77513,0.3828,1.11905,0.000326046,0.000326046,0.000326046
47,721.887,0.60293,0.69986,1.04668,0.98589,0.99099,0.995,0.80289,0.80738,0.38323,1.15066,0.000320225,0.000320225,0.000320225
48,736.775,0.59183,0.66711,1.027,0.98411,0.98433,0.995,0.82127,0.74673,0.37311,1.10389,0.000314404,0.000314404,0.000314404
49,751.881,0.58427,0.64003,1.01992,0.98105,0.98226,0.995,0.80788,0.77776,0.36581,1.13268,0.000308582,0.000308582,0.000308582
50,767.166,0.5954,0.6288,1.04374,0.98085,0.98325,0.995,0.83242,0.70229,0.35704,1.07286,0.000302761,0.000302761,0.000302761
51,783.029,0.58234,0.64417,1.04227,0.98175,0.98751,0.995,0.8108,0.76183,0.36175,1.11817,0.00029694,0.00029694,0.00029694
52,798.123,0.57012,0.62691,1.02979,0.97495,0.96917,0.995,0.81526,0.75509,0.36458,1.10958,0.000291119,0.000291119,0.000291119
53,813.26,0.59717,0.63463,1.0258,0.98493,0.99864,0.995,0.81117,0.77776,0.349,1.12961,0.000285298,0.000285298,0.000285298
54,828.519,0.58293,0.59923,1.03002,0.97952,0.98995,0.995,0.79231,0.79765,0.36867,1.1536,0.000279476,0.000279476,0.000279476
55,843.627,0.55393,0.59996,1.0121,0.98436,0.98737,0.995,0.80228,0.79322,0.35794,1.12978,0.000273655,0.000273655,0.000273655
56,859.359,0.54994,0.58758,1.00142,0.97261,0.98168,0.98227,0.79541,0.81028,0.39784,1.15183,0.000267834,0.000267834,0.000267834
57,874.989,0.58072,0.59222,1.02348,0.98635,0.982,0.995,0.81874,0.76077,0.36093,1.13825,0.000262013,0.000262013,0.000262013
58,890.215,0.57519,0.60432,1.03624,0.9832,0.98215,0.995,0.82562,0.74669,0.3446,1.11685,0.000256192,0.000256192,0.000256192
59,905.676,0.56101,0.55672,1.02687,0.9884,0.98618,0.995,0.79505,0.82486,0.3589,1.18224,0.00025037,0.00025037,0.00025037
60,921.132,0.53164,0.53765,1.0068,0.99035,0.9842,0.995,0.81229,0.77254,0.34998,1.12986,0.000244549,0.000244549,0.000244549
61,936.922,0.56052,0.55273,1.01734,0.98352,0.98813,0.995,0.8049,0.77034,0.34418,1.12923,0.000238728,0.000238728,0.000238728
62,952.337,0.53599,0.51781,1.00694,0.98582,0.98615,0.995,0.81634,0.76249,0.34578,1.13634,0.000232907,0.000232907,0.000232907
63,967.345,0.54864,0.54534,1.01708,0.98319,0.9856,0.995,0.82447,0.74872,0.33419,1.11647,0.000227086,0.000227086,0.000227086
64,982.511,0.56313,0.55151,1.01002,0.98367,0.98582,0.995,0.81598,0.74579,0.33921,1.12811,0.000221264,0.000221264,0.000221264
65,997.57,0.52418,0.53434,1.01211,0.98654,0.98651,0.995,0.81718,0.76458,0.34286,1.1316,0.000215443,0.000215443,0.000215443
66,1013.01,0.52105,0.52745,1.00805,0.98727,0.98595,0.995,0.81188,0.76488,0.35574,1.14883,0.000209622,0.000209622,0.000209622
67,1028.69,0.52176,0.52436,1.00206,0.98853,0.98744,0.995,0.81283,0.77665,0.34176,1.15767,0.000203801,0.000203801,0.000203801
68,1043.71,0.53835,0.50506,0.99738,0.98793,0.98588,0.995,0.80765,0.78651,0.34436,1.15847,0.00019798,0.00019798,0.00019798
69,1058.78,0.52219,0.5077,1.00466,0.98571,0.9859,0.995,0.80993,0.76952,0.33466,1.13724,0.000192158,0.000192158,0.000192158
70,1074.26,0.50871,0.50755,1.00487,0.98852,0.98825,0.995,0.8221,0.73749,0.31792,1.10624,0.000186337,0.000186337,0.000186337
71,1089.36,0.52972,0.52455,0.99977,0.98435,0.98268,0.995,0.80776,0.76603,0.32512,1.13756,0.000180516,0.000180516,0.000180516
72,1105.38,0.52924,0.50873,1.00416,0.98686,0.97375,0.995,0.81034,0.75068,0.34138,1.12346,0.000174695,0.000174695,0.000174695
73,1120.61,0.53577,0.52123,1.00794,0.98495,0.97359,0.99324,0.80829,0.7395,0.32937,1.11874,0.000168874,0.000168874,0.000168874
74,1135.72,0.49751,0.48356,0.98497,0.97137,0.98422,0.99324,0.80224,0.76528,0.3563,1.13403,0.000163052,0.000163052,0.000163052
75,1150.66,0.48615,0.46628,0.97985,0.97878,0.96809,0.99324,0.81148,0.74879,0.34384,1.12608,0.000157231,0.000157231,0.000157231
76,1165.85,0.48869,0.47872,0.98559,0.98898,0.98557,0.995,0.81724,0.7348,0.3262,1.10631,0.00015141,0.00015141,0.00015141
77,1181.32,0.47613,0.46169,0.97909,0.98604,0.98615,0.995,0.80938,0.77038,0.32491,1.14265,0.000145589,0.000145589,0.000145589
78,1196.75,0.48681,0.48659,0.991,0.98508,0.98618,0.995,0.80315,0.76755,0.3265,1.13443,0.000139768,0.000139768,0.000139768
79,1211.74,0.48532,0.45005,0.98491,0.98761,0.98635,0.995,0.80402,0.74425,0.31796,1.10587,0.000133946,0.000133946,0.000133946
80,1226.73,0.49348,0.45129,0.97475,0.99037,0.98694,0.995,0.81478,0.75591,0.30878,1.13111,0.000128125,0.000128125,0.000128125
81,1241.86,0.46913,0.45066,0.9787,0.98907,0.98669,0.995,0.80347,0.7579,0.31779,1.14707,0.000122304,0.000122304,0.000122304
82,1257.43,0.46176,0.43885,0.97073,0.98833,0.99042,0.995,0.81393,0.75905,0.30995,1.12982,0.000116483,0.000116483,0.000116483
83,1273.27,0.46299,0.4489,0.98083,0.98605,0.9906,0.995,0.81232,0.76614,0.31512,1.13229,0.000110662,0.000110662,0.000110662
84,1288.7,0.45424,0.44497,0.96075,0.98712,0.98834,0.995,0.81174,0.75103,0.31825,1.12171,0.00010484,0.00010484,0.00010484
85,1303.71,0.47032,0.45793,0.97637,0.98922,0.9881,0.995,0.80823,0.74961,0.31319,1.12547,9.90192e-05,9.90192e-05,9.90192e-05
86,1318.76,0.46511,0.43187,0.9762,0.98817,0.98601,0.995,0.80522,0.76291,0.32579,1.13177,9.3198e-05,9.3198e-05,9.3198e-05
87,1333.78,0.46998,0.43822,0.97934,0.98946,0.98921,0.995,0.82377,0.72838,0.30639,1.09715,8.73768e-05,8.73768e-05,8.73768e-05
88,1349.6,0.44612,0.43722,0.97151,0.98888,0.98759,0.995,0.81632,0.75661,0.31505,1.13925,8.15556e-05,8.15556e-05,8.15556e-05
89,1364.88,0.45932,0.43655,0.97673,0.98877,0.99388,0.995,0.82505,0.73655,0.30587,1.11178,7.57344e-05,7.57344e-05,7.57344e-05
90,1380.1,0.44087,0.39908,0.95515,0.98879,0.99146,0.995,0.82239,0.75341,0.30333,1.13563,6.99132e-05,6.99132e-05,6.99132e-05
91,1395.06,0.35706,0.36769,0.90641,0.9883,0.99127,0.995,0.80623,0.7836,0.31015,1.17197,6.4092e-05,6.4092e-05,6.4092e-05
92,1409.65,0.33535,0.35739,0.89123,0.9887,0.99064,0.995,0.82152,0.74424,0.30537,1.12589,5.82708e-05,5.82708e-05,5.82708e-05
93,1424.59,0.33021,0.35481,0.8941,0.98865,0.98974,0.995,0.8092,0.77646,0.3093,1.16702,5.24496e-05,5.24496e-05,5.24496e-05
94,1439.87,0.31385,0.34027,0.88511,0.98821,0.99206,0.995,0.81599,0.7612,0.30461,1.15241,4.66284e-05,4.66284e-05,4.66284e-05
